set,MWa,logKowb,Mptc,LogSaqd,LogSoce,Hdf,Hag,Texpi,Skin thicknessj,logkpl
t*,130.1,-0.78,556.0,-3.886056647693163,-4.666056647693163,2.0,4.0,305.0,0.1,-4.465973893943865
t,130.1,-0.78,556.0,-3.9208187539523753,-4.700818753952375,2.0,4.0,305.0,0.1,-4.471083299722345
t,130.1,-0.78,556.0,-3.9208187539523753,-4.700818753952375,2.0,4.0,305.0,0.1,-4.638272163982407
t,130.1,-0.78,556.0,-3.9208187539523753,-4.700818753952375,2.0,4.0,305.0,0.1,-4.421360790031928
t,130.1,-0.78,556.0,-3.9208187539523753,-4.700818753952375,2.0,4.0,305.0,0.1,-4.363512103646634
t,130.1,-0.78,556.0,-3.9208187539523753,-4.700818753952375,2.0,4.0,305.0,0.1,-4.679853713888946
t,130.1,-0.78,556.0,-3.886056647693163,-4.666056647693163,2.0,4.0,305.0,0.1,-4.913640169325252
t,130.1,-0.78,556.0,-3.886056647693163,-4.666056647693163,2.0,4.0,305.0,0.1,-4.328827157284917
t,130.1,-0.78,556.0,-3.886056647693163,-4.666056647693163,2.0,4.0,305.0,0.1,-5.086186147616283
t,130.1,-0.78,556.0,-3.886056647693163,-4.666056647693163,2.0,4.0,305.0,0.1,-4.294136287716081
t,130.1,-0.78,556.0,-3.886056647693163,-4.666056647693163,2.0,4.0,305.0,0.1,-4.609064892896621
t,130.1,-0.78,556.0,-3.886056647693163,-4.666056647693163,2.0,4.0,305.0,0.1,-4.847711655616943
t,130.1,-0.78,556.0,-3.886056647693163,-4.666056647693163,2.0,4.0,305.0,0.1,-4.889410289700751
t,130.1,-0.78,556.0,-3.886056647693163,-4.666056647693163,2.0,4.0,305.0,0.1,-5.130768280269024
t,130.1,-0.78,556.0,-3.886056647693163,-4.666056647693163,2.0,4.0,305.0,0.1,-4.790484985457369
t,130.1,-0.78,556.0,-3.886056647693163,-4.666056647693163,2.0,4.0,305.0,0.1,-4.471083299722345
t,130.1,-0.78,556.0,-3.886056647693163,-4.666056647693163,2.0,4.0,305.0,0.1,-4.543633966870957
t,130.1,-0.78,556.0,-3.886056647693163,-4.666056647693163,2.0,4.0,305.0,0.1,-4.507239610973163
t,130.1,-0.78,556.0,-3.886056647693163,-4.666056647693163,2.0,4.0,305.0,0.1,-5.376750709602099
t,130.1,-0.78,556.0,-3.886056647693163,-4.666056647693163,2.0,4.0,305.0,0.1,-4.954677021213342
t,130.1,-0.78,556.0,-3.886056647693163,-4.666056647693163,2.0,4.0,305.0,0.1,-4.6020599913279625
t,130.1,-0.78,556.0,-3.886056647693163,-4.666056647693163,2.0,4.0,305.0,0.1,-4.3788237182249645
t,130.1,-0.78,556.0,-3.886056647693163,-4.666056647693163,2.0,4.0,305.0,0.1,-4.667561540084395
t,504.4,-4.3,354.0,-3.3414250535487775,-7.641425053548778,11.0,16.0,310.0,0.1,-4.297569463554475
t,504.4,-3.67,354.0,-3.3414250535487775,-7.011425053548778,11.0,16.0,310.0,0.1,-4.854725881712057
t,267.0,0.03,397.0,-3.3979400086720375,-3.3679400086720377,2.0,4.0,310.0,0.1,-3.524619406856639
t,90.1,-0.99,298.0,-1.958607314841775,-2.9486073148417753,2.0,2.0,303.0,0.1,-4.301029995663981
t,360.45,1.08,437.0,-7,-5.92,2.0,5.0,298.0,0.1,-4.236572006437063
t,360.4,0.73,437.0,-7,-6.27,2.0,5.0,298.0,0.1,-4.301029995663981
t,360.45,0.73,437.0,-6.853871964321762,-6.123871964321762,2.0,5.0,298.0,0.1,-4.522878745280337
t,360.45,0.73,437.0,-5.8847471719238635,-5.154747171923864,2.0,5.0,298.0,0.1,-4.522878745280337
t,360.45,0.73,437.0,-5.717149772053762,-4.987149772053762,2.0,5.0,310.0,0.1,-4.012333735073725
t*,360.4,0.73,437.0,-6.706943409102483,-5.976943409102484,2.0,5.0,308.0,0.1,-4.748357908858641
t,360.5,1.24,495.0,-6.0915149811213505,-4.85151498112135,2.0,5.0,299.0,0.1,-5.0
t,360.5,1.24,495.0,-6.107905397309519,-4.86790539730952,2.0,5.0,310.0,0.1,-3.8239087409443187
t,270.4,3.69,528.0,-6.920818753952375,-3.230818753952375,1.0,2.0,299.0,0.1,-2.4436974992327127
t,270.4,3.69,528.0,-6.920818753952375,-3.230818753952375,1.0,2.0,299.0,0.1,-2.4436974992327127
t,126.11,0.8,413.5,-2.3401048093131855,-1.5401048093131853,3.0,3.0,310.0,0.1,-3.9
t,116.2,2.47,238.0,-4.853871964321762,-2.3838719643217616,1.0,1.0,303.0,0.1,-1.424812155072339
t,116.2,2.47,238.0,-4.853871964321762,-2.3838719643217616,1.0,1.0,298.0,0.1,-1.494850021680094
t,116.2,2.62,237.0,-4.701099325666201,-2.0810993256662003,1.0,1.0,310.0,0.1,-1.494850021680094
t,223.27,3.12,467.0,-7.4448196116800975,-4.324819611680097,1.0,1.0,305.0,0.128,-1.1075666644266338
t,223.27,3.12,467.0,-7.4448196116800975,-4.324819611680097,1.0,1.0,305.0,0.075,-1.1605219760218215
t,139.1,1.93,370.0,-4.031517051446065,-2.1015170514460646,1.0,4.0,298.0,0.1,-2.248482948553936
t,386.5,3.42,370.0,-6.568636235841013,-3.1486362358410127,0.0,4.0,310.0,0.1,-1.8181564120552274
t,92.1,-1.8,291.2,-1.2403116537652052,-3.0403116537652055,3.0,3.0,310.0,0.1,-4.568636235841013
t,92.0,-1.96,291.2,-1.2403116537652052,-3.200311653765205,3.0,3.0,310.0,0.1,-3.005946936412325
t,60.1,-2.11,406.0,-1.853871964321762,-3.963871964321762,4.0,3.0,312.0,0.1,-3.55495653854982
t,60.1,-2.11,406.0,-2.0177287669604316,-4.1277287669604315,4.0,3.0,300.0,0.1,-3.694941125312857
t,60.1,-2.11,406.0,-1.8860566476931633,-3.9960566476931634,4.0,3.0,310.0,0.1,-3.8297382846050425
t,60.1,-2.11,406.0,-2.0409586076789066,-4.1509586076789065,4.0,3.0,310.0,0.1,-3.95233580539844
t,60.1,-2.11,406.0,-1.853871964321762,-3.963871964321762,4.0,3.0,310.0,0.1,-3.925644419152991
t,60.1,-2.11,406.0,-1.853871964321762,-3.963871964321762,4.0,3.0,310.0,0.1,-3.557206774060231
t,60.1,-2.11,406.0,-1.853871964321762,-3.963871964321762,4.0,3.0,310.0,0.1,-3.597051170655595
t,342.3,-3.85,459.0,-2.036212172654445,-5.886212172654445,8.0,11.0,310.0,0.01,-5.026872146400302
t,342.3,-3.85,459.0,-2.214670164989233,-6.064670164989233,8.0,11.0,298.0,0.1,-5.2839966563652006
t,342.3,-3.85,459.0,-2.036212172654445,-5.886212172654445,8.0,11.0,310.0,0.1,-3.134067331806814
t,342.3,-3.85,459.0,-2.036212172654445,-5.886212172654445,8.0,11.0,310.0,0.1,-4.719421629631924
t,342.3,-3.85,459.0,-2.036212172654445,-5.886212172654445,8.0,11.0,310.0,0.1,-4.804584703790628
t,342.3,-3.85,459.0,-2.036212172654445,-5.886212172654445,8.0,11.0,310.0,0.1,-4.364516253185088
t,342.3,-3.85,459.0,-2.036212172654445,-5.886212172654445,8.0,11.0,310.0,0.1,-4.269056306572264
t,314.5,4.04,394.0,-7.5376020021010435,-3.497602002101044,0.0,2.0,299.0,0.1,-2.8239087409443187
t,314.45999,3.77,394.0,-7.5376020021010435,-3.7676020021010435,0.0,2.0,310.0,0.1,-1.5228787452803376
t,314.5,4.04,394.0,-7.5376020021010435,-3.497602002101044,0.0,2.0,298.0,0.1,-1.8860566476931633
t,314.45999,3.7699678013294426,394.0,-7.552841968657781,-3.782874167328338,0.0,2.0,298.0,0.1,-1.6989700043360187
t*,314.5,4.04,394.0,-7.426398535026744,-3.386398535026743,0.0,2.0,308.0,0.1,-1.7034403268727736
t,194.19,-0.63,511.0,-3.7626295772362326,-4.3926295772362325,0.0,6.0,310.0,0.1,-3.6556077263148894
t,194.2,-0.07,509.0,-3.886056647693163,-3.9560566476931633,0.0,6.0,310.0,0.1,-3.8068754016455384
t*,194.194,-0.08,511.0,-3.6764970188783894,-3.7564970188783895,0.0,6.0,305.0,0.1,-4.154901959985743
t,194.2,-0.08,511.0,-3.842412863857068,-3.922412863857068,0.0,6.0,305.0,0.128,-2.60631808276205
t,194.2,-0.08,511.0,-3.842412863857068,-3.922412863857068,0.0,6.0,305.0,0.075,-1.6022038034705162
t,194.2,-0.08,511.0,-3.8426450222983886,-3.9226450222983886,0.0,6.0,303.0,0.1,-4.58586563707645
t,194.2,-0.08,511.0,-3.8779782613198015,-3.9579782613198016,0.0,6.0,305.0,0.1,-3.6989700043360187
t,288.4,3.48,428.0,-7.075720713938118,-3.595720713938118,1.0,2.0,299.0,0.1,-3.3979400086720375
t,288.4,3.48,428.0,-7.0915149811213505,-3.61151498112135,1.0,2.0,298.0,0.01,-3.067526235322847
t,288.42001,3.48,428.0,-7.075720713938118,-3.595720713938118,1.0,2.0,310.0,0.1,-2.113509274827518
t,288.42001,3.48,428.0,-7.075720713938118,-3.595720713938118,1.0,2.0,310.0,0.1,-1.9546770212133426
t,288.42001,3.48,428.0,-7.075720713938118,-3.595720713938118,1.0,2.0,310.0,0.1,-2.0132282657337552
t,288.42001,3.48,428.0,-7.075720713938118,-3.595720713938118,1.0,2.0,310.0,0.1,-2.0268721464003012
t,288.42001,3.48,428.0,-7.075720713938118,-3.595720713938118,1.0,2.0,310.0,0.1,-2.065501548756432
t,288.42001,3.48,428.0,-7.075720713938118,-3.595720713938118,1.0,2.0,310.0,0.1,-2.1079053973095196
t,288.4,3.48,428.0,-7.0915149811213505,-3.61151498112135,1.0,2.0,298.0,0.1,-2.657577319177794
t,288.0,3.48,428.0,-7.075720713938118,-3.595720713938118,1.0,2.0,298.0,0.1,-2.657577319177794
t,288.0,3.48,428.0,-7.075720713938118,-3.595720713938118,1.0,2.0,298.0,0.1,-2.657577319177794
t,288.0,3.48,428.0,-7.075720713938118,-3.595720713938118,1.0,2.0,310.0,0.1,-2.1319436381769585
t*,288.42,3.31,428.0,-7.098297536494698,-3.788297536494697,1.0,2.0,298.0,0.1,-2.27083521030723
t,288.42,3.48,428.0,-7.000976156804962,-3.5209761568049625,1.0,2.0,305.0,0.128,-1.4157067175256806
t,288.42,3.32,428.0,-7.000976156804962,-3.6809761568049626,1.0,2.0,305.0,0.075,-1.6463396227996618
t,288.42,3.48,428.0,-6.9829041177926285,-3.502904117792628,1.0,2.0,303.0,0.1,-2.0571655062299046
t*,288.4,3.48,428.0,-6.953103049818282,-3.473103049818282,1.0,2.0,308.0,0.1,-2.3887598313514125
t,303.14001,2.84,398.0,-7.1938415306718895,-4.35384153067189,1.0,4.0,310.0,0.1,-3.8239087409443187
t,454.44,-1.85,468.0,-5.242503203197633,-7.092503203197634,5.0,12.0,298.0,0.01,-3.3615107430453626
t,454.44,-1.85,468.0,-5.242503203197633,-7.092503203197634,5.0,12.0,298.0,0.01,-3.4416915165351143
t,142.6,3.1,340.0,-4.455931955649724,-1.3559319556497242,1.0,1.0,298.0,0.1,-1.2640680443502759
t,143.0,2.89,340.0,-4.455931955649724,-1.565931955649724,1.0,1.0,305.0,0.1,-1.4436974992327127
t,143.0,2.89,340.0,-4.455931955649724,-1.565931955649724,1.0,1.0,305.0,0.1,-1.8614149186359967
t,122.2,1.36,259.0,-3.744727494896694,-2.3847274948966937,1.0,1.0,298.0,0.1,-2.115272505103307
t*,122.16,1.34,246.0,-3.691553581317919,-2.3515535813179187,1.0,1.0,310.0,0.1,-1.2596373105057561
t,279.1,0.76,324.0,-3.770026651189935,-3.0100266511899347,2.0,5.0,305.0,0.128,-2.5373095329266073
t,279.1,0.76,324.0,-3.770026651189935,-3.0100266511899347,2.0,5.0,305.0,0.075,-2.9084446657651823
t,154.12,1.318,425.0,-4.243338782409286,-2.925338782409286,3.0,5.0,305.0,0.128,-2.266719237308466
t,154.12,1.318,425.0,-4.243338782409286,-2.925338782409286,3.0,5.0,305.0,0.075,-2.1297393876226973
t,151.2,1.41,282.0,-3.431798275933005,-2.021798275933005,0.0,3.0,310.0,0.1,-3.1079053973095196
t,151.2,1.41,282.0,-3.3236461780763262,-1.9136461780763259,0.0,3.0,310.0,0.1,-3.0861861476162833
t,124.1,0.32,393.0,-4.050609993355088,-3.7306099933550874,2.0,2.0,310.0,0.01,-2.6989700043360187
t,137.11,2.06,432.0,-2.0388382055450966,0.021161794454903734,1.0,3.0,305.0,0.1,-4.223589411192657
t,137.11,2.06,432.0,-2.0388382055450966,0.021161794454903734,1.0,3.0,305.0,0.1,-3.700187734504283
t,137.11,2.06,432.0,-2.0388382055450966,0.021161794454903734,1.0,3.0,305.0,0.1,-3.976829878878603
t,46.0,-0.31,159.0,-1.7695510786217261,-2.079551078621726,1.0,1.0,298.0,0.1,-3.0969100130080562
t,46.07,-0.31,159.0,-1.7695510786217261,-2.079551078621726,1.0,1.0,310.0,0.1,-3.0969100130080562
t,46.07,-0.31,159.0,-1.7695510786217261,-2.079551078621726,1.0,1.0,308.0,0.1,-2.721246399047171
t,60.05,-0.17,289.6,-1.749736315569061,-1.919736315569061,1.0,2.0,310.0,0.1,-2.3979400086720375
t,60.05,-0.17,289.6,-1.749736315569061,-1.919736315569061,1.0,2.0,310.0,0.1,-2.494850021680094
t,60.05,-0.17,289.6,-1.749736315569061,-1.919736315569061,1.0,2.0,310.0,0.1,-2.853871964321762
t,60.05,-0.17,289.6,-1.749736315569061,-1.919736315569061,1.0,2.0,310.0,0.1,-3.0457574905606752
t,60.05,-0.17,289.6,-1.749736315569061,-1.919736315569061,1.0,2.0,310.0,0.1,-3.0969100130080562
t,330.5,3.41,415.0,-6.886056647693163,-3.476056647693163,1.0,3.0,299.0,0.1,-3.3467874862246565
t*,122.1,1.9,395.0,-4.3872161432802645,-2.487216143280264,1.0,2.0,308.0,0.01,-1.5086383061657274
t*,122.1,1.9,395.0,-4.3872161432802645,-2.487216143280264,1.0,2.0,308.0,0.1,-1.5086383061657274
t,122.1,1.56,395.0,-4.3872161432802645,-2.827216143280264,1.0,2.0,310.0,0.1,-2.1191864077192086
t,110.13,0.67,293.0,-1.9752814236883867,-1.3052814236883865,0.0,3.0,305.0,0.128,-2.0677676417917907
t,110.13,0.67,293.0,-1.9752814236883867,-1.3052814236883865,0.0,3.0,305.0,0.075,-1.9120540869095322
t*,418.5,3.0,469.0,-7.431798275933005,-4.431798275933005,2.0,6.0,310.0,0.01,-2.468521082957745
t,32.0,-0.72,175.0,-1.5086383061657274,-2.2286383061657276,1.0,1.0,298.0,0.1,-3.3010299956639813
t,32.0,-0.72,175.0,-1.5086383061657274,-2.2286383061657276,1.0,1.0,303.0,0.1,-2.795880017344075
t,32.04,-0.77,175.0,-1.5086383061657274,-2.2786383061657274,1.0,1.0,310.0,0.1,-3.3010299956639813
t,330.5,2.89,496.0,-7.721246399047171,-4.831246399047171,1.0,3.0,299.0,0.1,-3.2218487496163566
t,74.1,0.98,157.0,-3.0861861476162833,-2.1061861476162833,0.0,1.0,303.0,0.1,-1.7958800173440752
t,182.2,-4.67,440.0,-2.744727494896694,-7.414727494896694,6.0,6.0,312.0,0.1,-4.00436480540245
t,182.2,-4.67,440.0,-3,-7.670000000000001,6.0,6.0,300.0,0.1,-4.1881034136023825
t,182.2,-4.67,440.0,-2.9208187539523753,-7.590818753952376,6.0,6.0,303.0,0.1,-4.0
t,182.17,-3.26,440.0,-2.911766524936914,-6.171766524936914,6.0,6.0,305.0,0.1,-4.958607314841775
t,182.17,-3.26,440.0,-2.911766524936914,-6.171766524936914,6.0,6.0,305.0,0.1,-4.6020599913279625
t,182.17,-3.26,440.0,-2.911766524936914,-6.171766524936914,6.0,6.0,305.0,0.1,-4.619788758288394
t,182.2,-4.67,440.0,-2.9208187539523753,-7.590818753952376,6.0,6.0,304.0,0.1,-4.823908740944319
t,182.2,-4.67,440.0,-2.9208187539523753,-7.590818753952376,6.0,6.0,304.0,0.1,-4.721246399047171
t,182.2,-3.26,440.0,-2.911766524936914,-6.171766524936914,6.0,6.0,310.0,0.1,-4.456925764966468
t,182.0,-3.26,440.0,-2.911766524936914,-6.171766524936914,6.0,6.0,310.0,0.1,-3.153662887870195
t,182.0,-3.26,440.0,-2.911766524936914,-6.171766524936914,6.0,6.0,310.0,0.1,-4.682579588147849
t,182.2,-3.26,440.0,-2.911766524936914,-6.171766524936914,6.0,6.0,310.0,0.1,-4.4383024673460065
t,182.2,-4.67,440.0,-3.0409586076789066,-7.710958607678907,6.0,6.0,298.0,0.1,-3.9726503922252436
t,138.1,2.06,432.0,-4.609400437468482,-2.5494004374684818,2.0,3.0,310.0,0.1,-1.3467874862246563
t,138.1,2.06,432.0,-4.795880017344075,-2.735880017344075,2.0,3.0,310.0,0.1,-3.0315170514460648
t,60.0,0.34,147.0,-1.8860566476931633,-1.5460566476931632,1.0,1.0,303.0,0.1,-2.769551078621726
t,60.0,0.34,147.0,-1.8860566476931633,-1.5460566476931632,1.0,1.0,298.0,0.1,-2.9208187539523753
t,60.09,0.34,147.0,-1.8860566476931633,-1.5460566476931632,1.0,1.0,310.0,0.1,-2.9208187539523753
t,74.1,0.88,184.0,-3.070581074285707,-2.1905810742857073,1.0,1.0,303.0,0.1,-2.5228787452803374
t,74.1,0.88,184.0,-3.070581074285707,-2.1905810742857073,1.0,1.0,298.0,0.1,-2.6020599913279625
t,74.12,0.88,184.0,-3.070581074285707,-2.1905810742857073,1.0,1.0,298.0,0.1,-2.657577319177794
t,74.1,0.88,184.0,-3.070581074285707,-2.1905810742857073,1.0,1.0,298.0,0.1,-2.657577319177794
t,74.12,0.88,184.0,-3.070581074285707,-2.1905810742857073,1.0,1.0,310.0,0.1,-2.6020599913279625
t,74.1,0.88,184.0,-3.070581074285707,-2.1905810742857073,1.0,1.0,308.0,0.1,-2.1023729087095586
t,88.2,1.41,194.0,-3.6020599913279625,-2.1920599913279624,1.0,1.0,298.0,0.1,-2.221848749616356
t,88.15,1.41,194.0,-3.6020599913279625,-2.1920599913279624,1.0,1.0,310.0,0.1,-2.221848749616356
t*,78.1,2.22,279.0,-4.638272163982407,-2.4182721639824067,0.0,0.0,304.0,0.1,-0.9542859410591323
t,78.1,2.22,279.0,-4.638272163982407,-2.4182721639824067,0.0,0.0,298.0,0.1,-0.7958800173440752
t,198.22,1.743,573.0,-5.873713580494688,-4.130713580494688,2.0,4.0,305.0,0.128,-2.4305635955223392
t,198.22,1.743,573.0,-5.873713580494688,-4.130713580494688,2.0,4.0,305.0,0.075,-2.0721835050896757
t,434.5,2.6,566.0,-7.376750709602099,-4.7767507096021,2.0,6.0,298.0,0.01,-4.706637445288554
t,434.5,2.6,566.0,-7.318758762624412,-4.718758762624413,2.0,6.0,310.0,0.1,-3.402304814074488
t,72.1,0.37,187.0,-2.5086383061657274,-2.1386383061657273,0.0,1.0,303.0,0.1,-2.3467874862246565
t*,222.2,2.47,232.0,-5.174912886257973,-2.704912886257972,0.0,4.0,310.0,0.1,-1.7050930893948075
t,126.11,0.97,406.0,-2.34298119489448,-1.3729811948944801,3.0,3.0,310.0,0.1,-2.8100000000000005
t,156.6,3.35,389.0,-5.721246399047171,-2.3712463990471706,1.0,1.0,298.0,0.1,-1.2287536009528295
t,156.0,3.35,388.0,-5.533778962608284,-2.1837789626082835,1.0,1.0,305.0,0.1,-1.0947439512515487
t,197.5,3.58,342.0,-5.337242168318426,-1.7572421683184254,1.0,1.0,298.0,0.1,-1.2327578316815753
t,150.0,3.17,266.2,-5.378062465651608,-2.208062465651608,1.0,1.0,305.0,0.1,-1.1284270644541214
t,150.2,3.28,325.0,-5.173925197299174,-1.8939251972991733,1.0,1.0,298.0,0.1,-1.2760748027008275
t,150.2,3.28,325.0,-5.208356127271801,-1.9283561272718008,1.0,1.0,305.0,0.1,-1.2132485778544388
t,144.17,2.840106094456758,368.5,-5.22135700643865,-2.381250911981892,1.0,1.0,298.0,0.1,-1.585026652029182
t,144.17,2.840106094456758,368.5,-5.22135700643865,-2.381250911981892,1.0,1.0,298.0,0.1,-1.5228787452803376
t,128.17,3.3,354.0,-6.55017034359123,-3.2501703435912295,0.0,0.0,305.0,0.128,-1.782202142494507
t,128.17,3.3,354.0,-6.55017034359123,-3.2501703435912295,0.0,0.0,305.0,0.075,-1.5511152870020568
t,160.17,1.414,347.5,-3.5693801531832476,-2.1553801531832475,0.0,2.0,305.0,0.128,-1.3319363611429997
t,160.17,1.414,347.5,-3.5693801531832476,-2.1553801531832475,0.0,2.0,305.0,0.075,-1.1813692611257596
t,137.1,0.88,316.0,-3.283996656365201,-2.403996656365201,0.0,3.0,310.0,0.1,-3.275724130399211
t*,137.1,0.88,316.0,-3.334740243157843,-2.454740243157843,0.0,3.0,310.0,0.1,-3.309803919971486
t,189.04,1.425,374.5,-5.890367505731813,-4.465367505731813,0.0,1.0,305.0,0.128,-1.8605260866032842
t,189.04,1.425,374.5,-5.890367505731813,-4.465367505731813,0.0,1.0,305.0,0.075,-0.7437729356477739
t,180.2,2.9,371.0,-5.414499575552316,-2.5144995755523163,1.0,3.0,310.0,0.1,-1.853871964321762
t,180.2,2.9,371.0,-5.414499575552316,-2.5144995755523163,1.0,3.0,310.0,0.1,-1.5559552040819238
t,180.2,2.9,371.0,-5.414499575552316,-2.5144995755523163,1.0,3.0,310.0,0.1,-1.623423042943488
t,180.2,2.9,371.0,-5.414499575552316,-2.5144995755523163,1.0,3.0,310.0,0.1,-1.6126101736612706
t,180.2,2.9,371.0,-5.414499575552316,-2.5144995755523163,1.0,3.0,310.0,0.1,-1.705533773838407
t,180.2,2.9,371.0,-5.414499575552316,-2.5144995755523163,1.0,3.0,310.0,0.1,-1.705533773838407
t,180.2,2.9,371.0,-5.472424427482512,-2.572424427482512,1.0,3.0,305.0,0.128,-1.2029059012002887
t,180.2,2.9,371.0,-5.472424427482512,-2.572424427482512,1.0,3.0,305.0,0.075,-1.266067343678582
t,194.23,3.57,341.5,-5.873342962195474,-2.3033429621954733,1.0,3.0,310.0,0.1,-0.9812995013337567
t*,194.2,3.57,341.5,-5.890309216899948,-2.3203092168999486,1.0,3.0,305.0,0.1,-1.1524273408578878
t,108.1,1.95,303.0,-3.638272163982407,-1.688272163982407,1.0,1.0,298.0,0.1,-1.8017278360175935
t,108.1,0.15,377.0,-3.42021640338319,-3.27021640338319,4.0,2.0,305.0,0.1,-3.3467874862246565
t,128.6,2.15,282.0,-3.769551078621726,-1.619551078621726,1.0,1.0,298.0,0.1,-1.4804489213782746
t,122.2,2.23,334.0,-4.3872161432802645,-2.1572161432802646,1.0,1.0,298.0,0.1,-1.442783856719736
t,202.55,2.05,323.0,-6.329996452958074,-4.279996452958074,0.0,6.0,305.0,0.128,-1.50012264373278
t,202.55,2.05,323.0,-6.329996452958074,-4.279996452958074,0.0,6.0,305.0,0.075,-1.5750084769670332
t,164.2,2.2,263.9,-4.764430774418078,-2.5644307744180774,1.0,2.0,305.0,0.128,-1.5552439656330046
t,164.2,2.2,263.9,-4.764430774418078,-2.5644307744180774,1.0,2.0,305.0,0.075,-1.5929806757850025
t,164.2,2.354,263.0,-5.247085510403837,-2.8930855104038367,1.0,2.0,305.0,0.128,-1.4130090971130056
t,164.2,2.354,263.0,-5.247085510403837,-2.8930855104038367,1.0,2.0,305.0,0.075,-1.7456840605776576
t,120.15,1.58,293.0,-4.225639085086241,-2.6456390850862412,0.0,1.0,305.0,0.128,-1.5601714416637376
t,120.15,1.58,293.0,-4.225639085086241,-2.6456390850862412,0.0,1.0,305.0,0.075,-1.6274082848089455
t,152.1,1.87,401.0,-4.886056647693163,-3.016056647693163,1.0,3.0,298.0,0.1,-2.0339433523068373
t,152.0,1.86,404.0,-4.854873137619852,-2.9948731376198516,1.0,3.0,305.0,0.1,-2.0757207139381184
t,152.1,1.87,401.0,-4.795811348756391,-2.925811348756391,1.0,3.0,310.0,0.1,-1.673582204445611
t*,152.2,1.96,401.0,-4.804016751486416,-2.844016751486416,1.0,3.0,305.0,0.1,-1.9625735020593764
t,266.4,3.11,380.0,-6.157190306547199,-3.047190306547199,0.0,2.0,310.0,0.1,-2.5228787452803374
t,280.4,3.64,324.0,-5.692208028665821,-2.0522080286658206,0.0,2.0,310.0,0.1,-1.3565473235138126
t,294.4,4.18,343.1,-6.190412840928444,-2.0104128409284434,0.0,2.0,310.0,0.1,-2.3565473235138126
t,308.5,4.71,325.1,-5.806388372706936,-1.0963883727069355,0.0,2.0,310.0,0.1,-2.3010299956639813
